nombre;telefono;direccion;ciudad;codigoPostal;url_paginasamarillas
"Centre Veterinari Terrassa - Nature Faunia";"937807005";"Passeig Lletres, 12 Local 3 08221";"Terrassa";"08221";"https://www.paginasamarillas.es/f/terrassa/centre-veterinari-terrassa-nature-faunia_019393727_000000001.html"
"Agaba Centro Veterinario";"+34978832219";"Avenida Zaragoza, 98 BAJO 44600";"Alcañiz";"44600";"https://www.paginasamarillas.es/f/alcaniz/agaba-centro-veterinario_014100630_000000001.html"
"Consulta Veterinaria Acueducto";"686178863";"Calle Gonzalo de Jaraquemada, 5 35200";"Telde";"35200";"https://www.paginasamarillas.es/f/telde/consulta-veterinaria-acueducto_222043689_000000001.html"
"Clínica Veterinaria El Duque";"956308485";"Avda La cruz roja, 15 Edificio El duque Local 17 11407";"Jerez de la Frontera";"11407";"https://www.paginasamarillas.es/f/jerez-de-la-frontera/clinica-veterinaria-el-duque_007262975_000000001.html"
"Centro Veterinario Triana";"954333472";"Calle San Jacinto, 68 41010";"Sevilla";"41010";"https://www.paginasamarillas.es/f/sevilla/centro-veterinario-triana_018486167_000000001.html"
"Centre Veterinari Ocata";"+34935551373";"Avinguda Joan Maragall, 19 Local B 08320";"El Masnou";"08320";"https://www.paginasamarillas.es/f/el-masnou/centre-veterinari-ocata_219364403_000000001.html"
"Jara Veterinarios";"918576168";"Calle Redondillo, 3 28411";"Moralzarzal";"28411";"https://www.paginasamarillas.es/f/moralzarzal/jara-veterinarios_150671923_000000001.html"
"Clínica Veterinaria Peludos";"690336682";"Calle La Paz, 4 BAJO 30204";"Cartagena";"30204";"https://www.paginasamarillas.es/f/cartagena/clinica-veterinaria-peludos_226753218_000000001.html"
"Clínica Veterinaria La Dehesilla";"+34956369908";"Calle Barron, 6 LOCAL 11540";"Sanlúcar de Barrameda";"11540";"https://www.paginasamarillas.es/f/sanlucar-de-barrameda/clinica-veterinaria-la-dehesilla_155094048_000000001.html"
"Clínica Veterinaria Vellcan";"+34912004907";"Avenida CAÑADA, 31 local 28823";"Coslada";"28823";"https://www.paginasamarillas.es/f/coslada/clinica-veterinaria-vellcan_222941916_000000002.html"
"Guadiavet Clínica Veterinaria en Don Benito";"924811367";"Calle Manzano, 15 (Esquina C/ Las Dehesas) 06400";"Don Benito";"06400";"https://www.paginasamarillas.es/f/don-benito/guadiavet-clinica-veterinaria-en-don-benito_201755709_000000001.html"
"Huellas Veterinaria Salamanca";"923999577";"Calle Paraguay, 14 37003";"Salamanca";"37003";"https://www.paginasamarillas.es/f/salamanca/huellas-veterinaria-salamanca_228416541_000000001.html"
"Hospital Veterinario Maldonado";"952421070";"Calle de Juan Ramón Jiménez, 3 Estación de Cártama 29580";"Cártama";"29580";"https://www.paginasamarillas.es/f/cartama/hospital-veterinario-maldonado_020607669_000000001.html"
"Clínica veterinaria Zarpas";"925828781";"Calle Santo Domingo, 10 45600";"Talavera de la Reina";"45600";"https://www.paginasamarillas.es/f/talavera-de-la-reina/clinica-veterinaria-zarpas_220704191_000000001.html"
"Zen-vet Centro Veterinario Integrativo";"+34623433244";"Calle Iglesia, 16 45214";"Cedillo del Condado";"45214";"https://www.paginasamarillas.es/f/cedillo-del-condado/zen-vet-centro-veterinario-integrativo_237012687_000000001.html"
"Centro Veterinario Montrove";"+34981637520";"Avenida Rosalía de Castro, 91 - Bajo - (Montrove) 15179";"Oleiros";"15179";"https://www.paginasamarillas.es/f/oleiros/centro-veterinario-montrove_187796529_000000001.html"
"Clínica Veterinaria La Dehesa";"+34975213231";"Plaza Odón Alonso, 2 Bajo 42003";"Soria";"42003";"https://www.paginasamarillas.es/f/soria/clinica-veterinaria-la-dehesa_201691540_000000001.html"
"Clínica Veterinaria El Cabo - Hospital veterinario urgencias 24h Alicante.";"965150606";"Calle del Curricán, 44 (Cabo Las Huertas) 03540";"Alacant/Alicante";"03540";"https://www.paginasamarillas.es/f/alacant-alicante/clinica-veterinaria-el-cabo-hospital-veterinario-urgencias-24h-alicante-_013303219_000000001.html"
"Centro Clínico Veterinario San Ignacio";"983351579";"Calle de San Ignacio, 2 BAJO 47003";"Valladolid";"47003";"https://www.paginasamarillas.es/f/valladolid/centro-clinico-veterinario-san-ignacio_002697928_000000001.html"
"Clínica Veterinaria San Esteban";"966700274";"Calle Colonia de San Esteban 03182";"Torrevieja";"03182";"https://www.paginasamarillas.es/f/torrevieja/clinica-veterinaria-san-esteban_2hN6uFlsKA.html"
"Clínica Veterinaria Wecan Vet & Vet";"646563723";"Calle Mariano Catalina, 13 16004";"Cuenca";"16004";"https://www.paginasamarillas.es/f/cuenca/clinica-veterinaria-wecan-vet-vet_228585543_000000001.html"
"Clínica Veterinaria San Miguel";"917633323";"Avenida de la Virgen del Carmen, 64 28033";"Madrid";"28033";"https://www.paginasamarillas.es/f/madrid/clinica-veterinaria-san-miguel_010610673_000000001.html"
"Clínica Veterinaria Polvoranca";"916443956";"Calle Polvoranca, 42 posterior 28921";"Alcorcón";"28921";"https://www.paginasamarillas.es/f/alcorcon/clinica-veterinaria-polvoranca_010673770_000000001.html"
"Clínica Veterinaria Polop";"966112700";"Carrer Ermita, 5 BAJO 03520";"Polop";"03520";"https://www.paginasamarillas.es/f/polop/clinica-veterinaria-polop_204653687_000000001.html"
"Las Rozas Clinica Veterinaria";"967261144";"Calle Carlos III, 4 02520";"Chinchilla de Monte-Aragón";"02520";"https://www.paginasamarillas.es/f/chinchilla-de-monte-aragon/las-rozas-clinica-veterinaria_205289952_000000001.html"
"Clínica Veterinaria Haciadama";"+34981666881";"Paseo Fernando II, 1 15670";"Culleredo";"15670";"https://www.paginasamarillas.es/f/culleredo/clinica-veterinaria-haciadama_015253081_000000001.html"
"Centro Veterinario Gilet Aicart";"+34687633378";"Carrer San Francisco de Asís, 26 46149";"Gilet";"46149";"https://www.paginasamarillas.es/f/gilet/centro-veterinario-gilet-aicart_218832459_000000001.html"
"Clínica Veterinaria Cairasco";"928433189";"Calle San Nicolás, 2 ZONA TRIANA 35002";"Las Palmas de Gran Canaria";"35002";"https://www.paginasamarillas.es/f/las-palmas-de-gran-canaria/clinica-veterinaria-cairasco_160238457_000000001.html"
"Clínica Veterinaria El Pinar";"961320875";"Carrer 1, esquina calle 25 46182";"Urbanització La Canyada";"46182";"https://www.paginasamarillas.es/f/urbanitzacio-la-canyada/clinica-veterinaria-el-pinar_158859181_000000001.html"
"Clínica Veterinaria Entre Mascotas";"956114577";"Avenida de Rota, 146 Frente al Día. 11550";"Chipiona";"11550";"https://www.paginasamarillas.es/f/chipiona/clinica-veterinaria-entre-mascotas_223848094_000000001.html"
"Centro Veterinario Las Columnas";"971460850";"Plaça Plaza Francesc García i Orel, 14, Plaza de las columnas, 14 BAJO 07005";"Palma";"07005";"https://www.paginasamarillas.es/f/palma/centro-veterinario-las-columnas_196003792_000000002.html"
"Clínica Veterinaria Don Quijote";"914597526";"Calle Alejandro Rodriguez, 10 LOC-A 28039";"Madrid";"28039";"https://www.paginasamarillas.es/f/madrid/clinica-veterinaria-don-quijote_017515735_000000001.html"
"Clínica Veterinaria Altamira";"943797489";"Calle Jose Luis Iñarra, 24 BAJO 20500";"Arrasate/Mondragón";"20500";"https://www.paginasamarillas.es/f/arrasate-mondragon/clinica-veterinaria-altamira_003711439_000000002.html"
"Clínica Veterinaria Zabalgana";"+34945003118";"Avenida de la Ilustración, 53 01015";"Vitoria-Gasteiz";"01015";"https://www.paginasamarillas.es/f/vitoria-gasteiz/clinica-veterinaria-zabalgana_203768056_000000001.html"
"Clínica Veterinària Els Llops";"+34936342188";"Avenida 300, 24 LOCAL 08860";"Castelldefels";"08860";"https://www.paginasamarillas.es/f/castelldefels/clinica-veterinaria-els-llops_196349468_000000001.html"
"Clínica Veterinaria Alcora";"916392956";"Calle del Viento, 14 LOCAL 28220";"Majadahonda";"28220";"https://www.paginasamarillas.es/f/majadahonda/clinica-veterinaria-alcora_201296241_000000001.html"
"Centro Veterinario Yuncos";"925557072";"Avenida Dr. Fleming, 21 BAJO 45210";"Yuncos";"45210";"https://www.paginasamarillas.es/f/yuncos/centro-veterinario-yuncos_019499649_000000002.html"
"Clínica Veterinaria Mayor";"+34968540083";"Calle Mayor, 28 BAJO 30360";"La Unión";"30360";"https://www.paginasamarillas.es/f/la-union/clinica-veterinaria-mayor_170376057_000000002.html"
"Vital Veterinaria Terapias Integrativas";"926541126";"Calle Carmen, 11 13600";"Alcázar de San Juan";"13600";"https://www.paginasamarillas.es/f/alcazar-de-san-juan/vital-veterinaria-terapias-integrativas_219163243_000000001.html"
"Cliper's Clinica Veterinaria";"968884611";"Avenida Primero de Mayo Esquina C/ Sagrado Corazón 30120";"El Palmar";"30120";"https://www.paginasamarillas.es/f/el-palmar/cliper-s-clinica-veterinaria_006094437_000000002.html"
"Clinica Veterinaría La Huella";"958122160";"Calle Poeta Gracián FRENTE FARMACIA 18007";"Granada";"18007";"https://www.paginasamarillas.es/f/granada/clinica-veterinaria-la-huella_200421345_000000002.html"
"Centro Veterinario del Real Sitio";"918960390";"Calle Santa Rita, 6 LOC 28200";"San Lorenzo de El Escorial";"28200";"https://www.paginasamarillas.es/f/san-lorenzo-de-el-escorial/centro-veterinario-del-real-sitio_001375542_000000001.html"
"Consultorio Veterinario Las Viñas";"+34925887017";"Avenida San Román, 25 45646";"Serranillos Playa";"45646";"https://www.paginasamarillas.es/f/serranillos-playa/consultorio-veterinario-las-vinas_235854841_000000003.html"
"Clínica Veterinaria Vetersalud Alegría";"941261350";"Avenida Club Deportivo, 38 Bajo 2 (Esq. Pintor Rosales) 26007";"Logroño";"26007";"https://www.paginasamarillas.es/f/logrono/clinica-veterinaria-vetersalud-alegria_220059984_000000002.html"
"Centro Veterinario Don Guau";"+34988412202";"Avenida Portugal, 25 Baixo 32600";"Verín";"32600";"https://www.paginasamarillas.es/f/verin/centro-veterinario-don-guau_021169735_000000003.html"
"CENTRO VETERINARIO 4 PATAS C.B";"640658069";"Avenida de las Ollerías, 47 14001";"Córdoba";"14001";"https://www.paginasamarillas.es/f/cordoba/centro-veterinario-4-patas-c-b_219892239_000000001.html"
"Centre Veterinari Palau";"938648611";"Carrer Camí Reial, 213 08184";"Palau-solità i Plegamans";"08184";"https://www.paginasamarillas.es/f/palau-solita-i-plegamans/centre-veterinari-palau_012932737_000000001.html"
"Clínica Veterinaria León";"952441053";"Plaza de la Cruz, 3 BAJO 29631";"Arroyo de la Miel";"29631";"https://www.paginasamarillas.es/f/arroyo-de-la-miel/clinica-veterinaria-leon_200747376_000000001.html"
"Clínica Veterinaria De La Fuente";"988414127";"Avenida Cabreiroá esquina Canella Cega 32600";"Verín";"32600";"https://www.paginasamarillas.es/f/verin/clinica-veterinaria-de-la-fuente_115097289_000000001.html"
"Mundo Animal Veterinarios";"955123345";"Calle Estrella de Oriente, s/n 41015";"Sevilla";"41015";"https://www.paginasamarillas.es/f/sevilla/mundo-animal-veterinarios_205763139_000000001.html"
"Clínica Veterinaria Alpujarra";"+34950887003";"Avenida Nicolas Salmerón Y Alonso, 41 PORTAL 1- BAJO 04400";"Alhama de Almería";"04400";"https://www.paginasamarillas.es/f/alhama-de-almeria/clinica-veterinaria-alpujarra_165682287_000000001.html"
"Hospital Veterinario Valdemoro";"+34918082817";"Paseo Estación, 8 28343";"Valdemoro";"28343";"https://www.paginasamarillas.es/f/valdemoro/hospital-veterinario-valdemoro_022207591_000000002.html"
"Bis-vet Veterinaris";"972640022";"Carrer de L'aigüeta, 93 BAJO 17100";"La Bisbal d'Empordà";"17100";"https://www.paginasamarillas.es/f/la-bisbal-d-emporda/bis-vet-veterinaris_009583493_000000002.html"
"Centro Veterinario Egesta";"950411208";"Avenida de Andalucia, 103 Bajo 04820";"Vélez-Rubio";"04820";"https://www.paginasamarillas.es/f/velez-rubio/centro-veterinario-egesta_006467971_000000001.html"
"Clínica Veterinaria Marpequeña";"+34928132626";"Calle Aristides Briand, 13 Esquina C/ Espiritu Santo 35212";"Marpequeña";"35212";"https://www.paginasamarillas.es/f/marpequena/clinica-veterinaria-marpequena_019258607_000000002.html"
"Centro Veterinario Huellitas";"+34622209767";"Calle Vidal García Seves, 3 local 2 45220";"Yeles";"45220";"https://www.paginasamarillas.es/f/yeles/centro-veterinario-huellitas_309934701_000000001.html"
"Centro Veterinario ""Los Molinos""";"+34607531117";"Calle del Submarino, 9 BAJO 30300";"Barrio de Peral";"30300";"https://www.paginasamarillas.es/f/barrio-de-peral/centro-veterinario-los-molinos-_001445295_000000001.html"
"Clínica Veterinaria La Florida";"953692416";"Calle Pintor el Greco, 9 23700";"Linares";"23700";"https://www.paginasamarillas.es/f/linares/clinica-veterinaria-la-florida_019447945_000000001.html"
"Clínica Veterinaria El Carmen";"961141193";"Plaza de Vicente Iborra, 4 46003";"València";"46003";"https://www.paginasamarillas.es/f/valencia/clinica-veterinaria-el-carmen_218928554_000000001.html"
"Clínica Veterinaria Mamen González Llerandi";"985849538";"Calle Alfonso Noriega, 2 BAJO 33550";"Cangues d'Onís/Cangas de Onís";"33550";"https://www.paginasamarillas.es/f/cangues-d-onis-cangas-de-onis/clinica-veterinaria-mamen-gonzalez-llerandi_203311196_000000001.html"
"Clínica Veterinaria Sant Antoni";"964251934";"Calle Joaquín Costa, 46 BAJO 12004";"Castelló de la Plana";"12004";"https://www.paginasamarillas.es/f/castello-de-la-plana/clinica-veterinaria-sant-antoni_219730710_000000001.html"
"Nexo Veterinario Punta Umbria";"";"Calle Cartaya, 26 21100";"Punta Umbría";"21100";"https://www.paginasamarillas.es/f/punta-umbria/nexo-veterinario-punta-umbria_000374512_000000002.html"
"Clínica Veterinaria Progrés";"937808800";"Plaça Progrés, 2 08224";"Terrassa";"08224";"https://www.paginasamarillas.es/f/terrassa/clinica-veterinaria-progres_009258211_000000002.html"
"Clínica Veterinaria Vinarós";"964456531";"Plaça de l'Hort dels Escribano, 2 BAJO;LOCAL CLINICA VETERINAR 12500";"Vinaròs";"12500";"https://www.paginasamarillas.es/f/vinaros/clinica-veterinaria-vinaros_004356358_000000001.html"
"Centro Veterinario Veravet";"+34950393307";"Calle Carlos V, 2 FRENTE A LA PZA TOROS 04620";"Vera";"04620";"https://www.paginasamarillas.es/f/vera/centro-veterinario-veravet_201481041_000000001.html"
"Clínica Veterinaria +cotas";"+34962744534";"Calle Gregorio Gea, 30 Bajo 46183";"l'Eliana";"46183";"https://www.paginasamarillas.es/f/l-eliana/clinica-veterinaria-cotas_203090915_000000001.html"
"Centro Veterinario Valdemorillo";"918977115";"Calle Tienda, 27 BAJO 28210";"Valdemorillo";"28210";"https://www.paginasamarillas.es/f/valdemorillo/centro-veterinario-valdemorillo_010578771_000000001.html"
"Clínica Veterinaria Montealto";"+34984088653";"Calle de Gozón, 25 BAJO 33012";"Oviedo/Uviéu";"33012";"https://www.paginasamarillas.es/f/oviedo-uvieu/clinica-veterinaria-montealto_201898236_000000001.html"
"Clinica Veterinària Vet 2.0.";"973590279";"Plaça Pau Casals, 3 Local 25600";"Balaguer";"25600";"https://www.paginasamarillas.es/f/balaguer/clinica-veterinaria-vet-2-0-_223988486_000000001.html"
"Clínica Veterinaria Beasain";"943889198";"Paseo Oria, 12 BAJO 20200";"Beasain";"20200";"https://www.paginasamarillas.es/f/beasain/clinica-veterinaria-beasain_003622156_000000002.html"
"Clínica Veterinaria Kirovet Shalom S.L.";"+34918683059";"Avenida Leguario, 135 28981";"Parla";"28981";"https://www.paginasamarillas.es/f/parla/clinica-veterinaria-kirovet-shalom-s-l-_232167692_000000001.html"
"Clínica Veterinaria Pezuñas";"+34981672250";"Rua Río de Canles, 1 15175";"Carral";"15175";"https://www.paginasamarillas.es/f/carral/clinica-veterinaria-pezunas_210345666_000000001.html"
"Centro Clínico Veterinario Zaragoza";"+34976251474";"Calle Madre Genoveva Torres Morales, 8 50006";"Zaragoza";"50006";"https://www.paginasamarillas.es/f/zaragoza/centro-clinico-veterinario-zaragoza_019850072_000000001.html"
"Centro Veterinario Castro";"+34982310589";"Avenida Terra Chá, 46 27269";"Ribeiras de Lea";"27269";"https://www.paginasamarillas.es/f/ribeiras-de-lea/centro-veterinario-castro_219321932_000000002.html"
"Clínica Veterinaria La Granja";"956873104";"Avenida de Sanlucar, 2 BAJO 11500";"El Puerto de Santa María";"11500";"https://www.paginasamarillas.es/f/el-puerto-de-santa-maria/clinica-veterinaria-la-granja_204898464_000000001.html"
"Clínica Veterinaria San Francisco";"985234788";"Calle José Maldonado, 6 33013";"Oviedo/Uviéu";"33013";"https://www.paginasamarillas.es/f/oviedo-uvieu/clinica-veterinaria-san-francisco_180055527_000000002.html"
"Ánade Centro Veterinario";"986334942";"Rua Manuel Rodríguez, 66 BAJO 36400";"O Porriño";"36400";"https://www.paginasamarillas.es/f/o-porrino/anade-centro-veterinario_179741772_000000001.html"
"Clínica Veterinaria Malina";"916932955";"Avenida Fuenlabrada, 99 BAJO;LOCUTORIO 28912";"Leganés";"28912";"https://www.paginasamarillas.es/f/leganes/clinica-veterinaria-malina_017456260_000000001.html"
"Centro Veterinario Urgain";"948567032";"Calle Araina, 2 31820";"Etxarri Aranatz";"31820";"https://www.paginasamarillas.es/f/etxarri-aranatz/centro-veterinario-urgain_218885473_000000001.html"
"Hospital Veterinari De L'urgell";"973312643";"Avinguda Catalunya, 73 25300";"Tàrrega";"25300";"https://www.paginasamarillas.es/f/tarrega/hospital-veterinari-de-l-urgell_009785122_000000001.html"
"Clínica Veterinaria Zalfonada";"976527362";"Avenida Salvador Allende, 57 LOCAL 50015";"Zaragoza";"50015";"https://www.paginasamarillas.es/f/zaragoza/clinica-veterinaria-zalfonada_017963497_000000001.html"
"Clinica Veterinaria General Margallo";"915709758";"Calle General Margallo, 22 Local 13 28020";"Madrid";"28020";"https://www.paginasamarillas.es/f/madrid/clinica-veterinaria-general-margallo_195529243_000000001.html"
"Clínica Veterinaria Andrada";"+34868951616";"Calle Federico Servet, 1 BAJO 30151";"Santo Ángel";"30151";"https://www.paginasamarillas.es/f/santo-angel/clinica-veterinaria-andrada_021395934_000000002.html"
"Centro Veterinario Los Dolores";"968532986";"Calle Alfonso XIII, 20 LOS DOLORES DE CARTAGENA 30310";"Los Dolores";"30310";"https://www.paginasamarillas.es/f/los-dolores/centro-veterinario-los-dolores_222072720_000000001.html"
"Serveis Veterinaris de Valls";"977605437";"Carrer Paborde, 32 BAJO 43800";"Valls";"43800";"https://www.paginasamarillas.es/f/valls/serveis-veterinaris-de-valls_011654860_000000002.html"
"Clínica Veterinaria Guadalupe";"+34868957278";"Calle Ntra. Sra. de Guadalupe, 74 30107";"Guadalupe de Maciascoque";"30107";"https://www.paginasamarillas.es/f/guadalupe-de-maciascoque/clinica-veterinaria-guadalupe_236995395_000000001.html"
"Centro Veterinario Ártabro";"881166403";"Rua Amparo Lopez Gean, 27 bajo 15174";"Culleredo";"15174";"https://www.paginasamarillas.es/f/culleredo/centro-veterinario-artabro_208287870_000000001.html"
"Centro veterinario Rualvet";"+34651107923";"Calle Don Juan Huertas, 33 10194";"Monroy";"10194";"https://www.paginasamarillas.es/f/monroy/centro-veterinario-rualvet_305271199_000000001.html"
"Clinica Veterinaria Huellas";"924844682";"Calle de San Miguel, 4 BAJO 06700";"Villanueva de la Serena";"06700";"https://www.paginasamarillas.es/f/villanueva-de-la-serena/clinica-veterinaria-huellas_200892529_000000001.html"
"Centro Veterinario Villacañas";"925201240";"Carretera del Tembleque, 19 45860";"Villacañas";"45860";"https://www.paginasamarillas.es/f/villacanas/centro-veterinario-villacanas_001126853_000000003.html"
"Bris Clínica Veterinaria- Albaitari Klinika";"944101460";"Calle Simón Bolívar, 1 BAJO;A 48010";"Bilbao";"48010";"https://www.paginasamarillas.es/f/bilbao/bris-clinica-veterinaria-albaitari-klinika_007069669_000000001.html"
"Clínica Veterinaria San Fernando";"952521838";"Calle Antonio Millón, 7 LOCAL 5 29780";"Nerja";"29780";"https://www.paginasamarillas.es/f/nerja/clinica-veterinaria-san-fernando_187445705_000000001.html"
"Alzivet Clínica Veterinaria";"+34962229928";"Calle Polinya, 5 46600";"Alzira";"46600";"https://www.paginasamarillas.es/f/alzira/alzivet-clinica-veterinaria_223351602_000000001.html"
"Clínica Veterinaria Can Mascota";"932964165";"Calle Constitució, 92 BAJO 08014";"Barcelona";"08014";"https://www.paginasamarillas.es/f/barcelona/clinica-veterinaria-can-mascota_196526024_000000001.html"
"Baix Penedes - Clínica Veterinaria";"977666238";"Carrer Narcis Monturiol, 30 LOCAL A 43700";"El Vendrell";"43700";"https://www.paginasamarillas.es/f/el-vendrell/baix-penedes-clinica-veterinaria_020486510_000000001.html"
"Clínica Veterinaria Poly";"986261541";"Calle Aragón, 56 BAJO(ASCENSOR) 36206";"Vigo";"36206";"https://www.paginasamarillas.es/f/vigo/clinica-veterinaria-poly_008144925_000000001.html"
"Clínica Veterinaria Islas";"918033163";"Avenida de Viñuelas, 26 posterior 28760";"Tres Cantos";"28760";"https://www.paginasamarillas.es/f/tres-cantos/clinica-veterinaria-islas_000885335_000000001.html"
